xDh,AcA,M,PP1_f
0,0.98998,1.72,1.0177
0.4,0.91227,1.5223,1.2783
0.8,0.88805,1.3689,1.5538
1.2,0.86599,1.2576,1.7744
1.6,0.86704,1.1736,1.9325
2,0.87624,1.1254,2.0554
2.4,0.87738,1.0956,2.1586
2.8,0.8877,1.0322,2.2391
3.2,0.89853,1.0037,2.3056
3.6,0.90904,0.97683,2.3597
4,0.9195,0.95421,2.4133
4.4,0.92357,0.9333,2.4568
4.8,0.94579,0.91878,2.4917
5.2,0.95687,0.90188,2.5307
5.6,0.96189,0.8835,2.5528
6,0.97191,0.87049,2.5728
6.4,0.9824,0.8704,2.5881
6.8,0.98775,0.85992,2.6158
7.2,0.99282,0.84946,2.6351
7.6,1.0031,0.83893,2.6522
8,1.0094,0.82848,2.6669
8.4,1.0139,0.81799,2.6827
8.8,1.0191,0.81274,2.6881
9.2,1.0202,0.81274,2.6881
9.6,1.0296,0.81274,2.6881
